EmployeeID,Gender,Age,BusinessTravel,Department,DistanceFromHome (KM),State,Ethnicity,EducationField,JobRole,MaritalStatus,Salary,StockOptionLevel,OverTime,Attrition,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,EducationLevel,AgeGroup
CA75-94D1,Male,41,Some Travel,Technology,16,CA,Black or African American,Computer Science,Data Scientist,Married,45989,1,No,No,8,4,8,4,High School ,Above_Avergae
5416-F925,Male,43,No Travel ,Technology,14,NY,White,Computer Science,Data Scientist,Married,76331,0,No,No,8,2,4,3,No Formal Qualifications,Above_Avergae
2D85-ABDD,Female,33,No Travel ,Sales,29,IL,White,Economics,Sales Executive,Married,65094,0,No,No,8,8,8,0,Bachelors ,Above_Avergae
8FD9-AA59,Non-Binary,26,Frequent Traveller,Sales,14,IL,Mixed or multiple ethnic groups,Marketing,Sales Executive,Divorced,71349,2,No,Yes,7,2,2,1,Masters ,Below_Average
D871-1F74,Female,32,Frequent Traveller,Technology,40,CA,White,Computer Science,Data Scientist,Single,60759,0,No,No,8,0,6,3,Doctorate,Above_Avergae
7816-BF57,Male,37,Some Travel,Sales,22,CA,White,Marketing,Sales Executive,Divorced,92483,1,Yes,No,8,5,5,3,Masters ,Above_Avergae
CED0-8D31,Female,36,Some Travel,Technology,43,CA,Black or African American,Computer Science,Analytics Manager,Single,454993,0,No,No,8,3,4,0,Bachelors ,Above_Avergae
CC7A-EE97,Male,31,Some Travel,Technology,10,IL,White,Computer Science,Senior Software Engineer,Married,168087,1,No,No,8,4,7,3,Bachelors ,Above_Avergae
B2D6-A355,Male,38,Some Travel,Technology,4,NY,Mixed or multiple ethnic groups,Other,Analytics Manager,Married,361616,1,Yes,No,8,1,6,5,Masters ,Above_Avergae
CC8A-0B1F,Female,28,Some Travel,Technology,23,CA,Mixed or multiple ethnic groups,Business Studies,Data Scientist,Married,65328,1,No,Yes,5,4,4,0,High School ,Below_Average
30CB-BCD0,Female,38,Frequent Traveller,Technology,31,NY,Black or African American,Computer Science,Data Scientist,Married,90187,1,Yes,No,8,4,5,2,Bachelors ,Above_Avergae
3642-EEAE,Female,48,Some Travel,Technology,43,CA,White,Information Systems,Data Scientist,Married,56053,1,No,No,8,6,8,4,Bachelors ,Above_Avergae
205B-4D34,Male,41,Frequent Traveller,Human Resources,39,CA,Mixed or multiple ethnic groups,Human Resources,HR Executive,Single,79990,0,No,No,8,5,5,8,No Formal Qualifications,Above_Avergae
8BCA-723F,Male,46,Some Travel,Technology,24,CA,White,Computer Science,Data Scientist,Divorced,43487,1,No,No,8,8,8,8,Masters ,Above_Avergae
ED5D-E9D8,Female,28,Some Travel,Sales,32,CA,Mixed or multiple ethnic groups,Economics,Sales Representative,Married,52528,0,No,No,8,2,4,6,No Formal Qualifications,Below_Average
5988-3855,Female,43,Some Travel,Technology,31,CA,Black or African American,Information Systems,Software Engineer,Single,98693,0,No,No,8,5,8,6,No Formal Qualifications,Above_Avergae
5A65-768A,Female,43,Frequent Traveller,Sales,40,CA,White,Economics,Sales Executive,Married,86038,3,No,No,8,1,3,3,Masters ,Above_Avergae
95D8-5DC7,Male,48,Some Travel,Technology,19,CA,Black or African American,Computer Science,Engineering Manager,Divorced,241907,3,No,No,8,3,3,0,Doctorate,Above_Avergae
B97B-73D7,Female,29,Frequent Traveller,Sales,18,CA,American Indian or Alaska Native,Marketing,Sales Executive,Single,177402,0,No,Yes,6,3,5,3,Bachelors ,Above_Avergae
C22D-CE5F,Female,42,Frequent Traveller,Sales,37,CA,Mixed or multiple ethnic groups,Marketing,Sales Executive,Single,189256,0,No,No,8,1,2,2,Bachelors ,Above_Avergae
9C24-CD7A,Female,45,Some Travel,Technology,13,CA,White,Other,Analytics Manager,Single,349793,0,No,No,8,0,8,6,High School ,Above_Avergae
9658-7750,Female,37,Some Travel,Technology,40,NY,American Indian or Alaska Native,Information Systems,Data Scientist,Married,49550,3,No,No,8,2,8,6,Masters ,Above_Avergae
D7F8-1775,Male,36,Some Travel,Sales,13,CA,White,Marketing,Sales Executive,Single,121303,0,No,No,8,2,3,0,Bachelors ,Above_Avergae
A696-1216,Female,36,Some Travel,Sales,37,CA,Mixed or multiple ethnic groups,Marketing,Sales Executive,Divorced,192475,2,No,No,8,2,2,0,Bachelors ,Above_Avergae
5C7B-86C0,Female,32,Some Travel,Technology,31,NY,White,Business Studies,Senior Software Engineer,Married,186169,0,No,No,8,2,6,0,Masters ,Above_Avergae
7DD6-128C,Female,32,No Travel ,Sales,2,CA,Black or African American,Marketing,Sales Executive,Divorced,114246,1,No,No,8,3,6,5,Masters ,Above_Avergae
8D34-EBDF,Male,29,Some Travel,Human Resources,14,IL,Native Hawaiian ,Technical Degree,Recruiter,Married,46703,0,No,Yes,0,0,0,0,Masters ,Above_Avergae
17AD-99F5,Female,26,Some Travel,Technology,37,NY,Mixed or multiple ethnic groups,Computer Science,Software Engineer,Single,26296,0,Yes,Yes,5,2,2,2,Bachelors ,Below_Average
F60C-4888,Female,36,Frequent Traveller,Technology,6,CA,Asian or Asian American,Information Systems,Data Scientist,Single,51050,0,Yes,No,8,6,7,2,Masters ,Above_Avergae
B5C6-F8D5,Prefer Not To Say,40,Some Travel,Technology,29,NY,White,Business Studies,Analytics Manager,Married,295688,0,No,No,8,1,5,8,High School ,Above_Avergae
B6EC-313E,Male,26,Frequent Traveller,Human Resources,17,CA,Mixed or multiple ethnic groups,Human Resources,Recruiter,Divorced,30502,1,No,Yes,0,0,0,0,Bachelors ,Below_Average
2A20-28CD,Female,38,Frequent Traveller,Technology,2,CA,White,Computer Science,Data Scientist,Single,58828,0,No,No,8,7,8,0,Masters ,Above_Avergae
5A04-0EB4,Female,27,Frequent Traveller,Sales,43,CA,Mixed or multiple ethnic groups,Marketing,Sales Representative,Single,24583,0,Yes,Yes,7,0,1,6,Bachelors ,Below_Average
EEFC-DEC7,Male,44,Some Travel,Technology,4,NY,Black or African American,Other,Data Scientist,Divorced,85523,1,Yes,Yes,8,0,4,1,Masters ,Above_Avergae
5160-53BD,Non-Binary,29,Some Travel,Technology,24,NY,Black or African American,Computer Science,Software Engineer,Single,41307,0,No,Yes,0,0,0,0,Bachelors ,Above_Avergae
6C86-3DC0,Male,31,Some Travel,Technology,20,CA,Black or African American,Computer Science,Senior Software Engineer,Divorced,149482,1,Yes,No,8,3,7,2,High School ,Above_Avergae
0240-4D29,Non-Binary,35,Some Travel,Technology,31,CA,Asian or Asian American,Computer Science,Software Engineer,Single,77269,0,No,No,8,8,8,6,Masters ,Above_Avergae
15D4-53C2,Prefer Not To Say,33,Some Travel,Sales,30,CA,Mixed or multiple ethnic groups,Economics,Sales Executive,Married,90726,0,No,No,8,0,5,1,Bachelors ,Above_Avergae
17AE-E715,Male,31,Frequent Traveller,Technology,38,CA,White,Computer Science,Analytics Manager,Divorced,547204,1,Yes,No,8,7,8,5,No Formal Qualifications,Above_Avergae
3B90-B998,Male,33,No Travel ,Technology,26,CA,White,Computer Science,Data Scientist,Divorced,43998,3,No,No,8,6,7,2,Bachelors ,Above_Avergae
DCD4-C785,Female,30,Some Travel,Sales,24,CA,Mixed or multiple ethnic groups,Marketing,Sales Representative,Single,38382,0,Yes,No,8,7,8,0,Masters ,Above_Avergae
6661-FA04,Male,44,Some Travel,Technology,28,CA,Mixed or multiple ethnic groups,Computer Science,Software Engineer,Married,49447,1,No,No,8,7,7,8,Bachelors ,Above_Avergae
B975-943A,Male,40,No Travel ,Technology,28,CA,White,Information Systems,Software Engineer,Divorced,46285,3,No,No,8,8,8,3,Bachelors ,Above_Avergae
C95C-CE06,Male,44,Some Travel,Sales,35,CA,Mixed or multiple ethnic groups,Marketing,Sales Representative,Married,75667,1,No,No,8,6,6,3,Bachelors ,Above_Avergae
7589-66E3,Male,47,Frequent Traveller,Sales,42,NY,White,Marketing,Sales Executive,Married,232155,0,No,No,8,7,7,3,Bachelors ,Above_Avergae
2ED2-2CEC,Male,44,Frequent Traveller,Technology,18,CA,Black or African American,Computer Science,Senior Software Engineer,Single,102708,0,Yes,No,8,3,4,7,Bachelors ,Above_Avergae
B61E-0F26,Male,28,Frequent Traveller,Technology,3,NY,White,Business Studies,Software Engineer,Married,58993,1,Yes,Yes,7,2,7,1,Bachelors ,Below_Average
DEB9-1BBF,Female,30,Some Travel,Technology,32,NY,Asian or Asian American,Computer Science,Software Engineer,Single,155259,0,No,No,8,3,5,6,Masters ,Above_Avergae
B312-7192,Female,39,No Travel ,Sales,12,NY,White,Marketing,Sales Executive,Single,89351,0,No,No,8,2,2,0,High School ,Above_Avergae
5C48-9106,Male,37,Frequent Traveller,Technology,15,NY,Black or African American,Computer Science,Data Scientist,Married,53929,2,No,No,8,7,7,5,Masters ,Above_Avergae
DF63-0D3C,Female,28,Frequent Traveller,Technology,27,CA,White,Information Systems,Analytics Manager,Married,546549,1,No,No,8,8,8,2,High School ,Below_Average
F9C6-39E2,Female,48,Some Travel,Sales,4,NY,Black or African American,Marketing,Sales Representative,Single,55880,0,No,No,8,1,6,5,Bachelors ,Above_Avergae
D4D5-27FB,Male,29,Some Travel,Technology,36,NY,White,Information Systems,Data Scientist,Divorced,86428,3,No,Yes,6,5,5,5,No Formal Qualifications,Above_Avergae
76ED-1CF5,Male,47,Some Travel,Technology,12,CA,White,Information Systems,Software Engineer,Single,105126,0,No,No,8,0,7,1,Masters ,Above_Avergae
380F-A08A,Female,32,Frequent Traveller,Sales,22,NY,White,Marketing,Sales Executive,Married,142488,1,No,No,8,0,6,7,Bachelors ,Above_Avergae
5E9A-FE30,Female,30,Some Travel,Technology,38,CA,White,Computer Science,Data Scientist,Married,88609,1,Yes,No,8,4,4,1,Masters ,Above_Avergae
FBED-F86B,Female,29,Frequent Traveller,Technology,12,IL,Mixed or multiple ethnic groups,Information Systems,Software Engineer,Single,72057,0,No,No,8,8,8,3,Bachelors ,Above_Avergae
B063-A2B5,Male,41,Some Travel,Sales,11,IL,Mixed or multiple ethnic groups,Marketing,Sales Executive,Married,81654,0,No,No,8,3,4,7,No Formal Qualifications,Above_Avergae
D676-4ECC,Female,44,Some Travel,Technology,13,NY,White,Information Systems,Software Engineer,Single,57296,0,No,No,8,5,7,3,Bachelors ,Above_Avergae
D4D7-3C3F,Female,28,Some Travel,Technology,27,NY,Mixed or multiple ethnic groups,Information Systems,Machine Learning Engineer,Divorced,117918,2,No,No,8,3,8,7,High School ,Below_Average
DF7E-3233,Male,47,Some Travel,Sales,23,CA,Black or African American,Marketing,Sales Representative,Married,44646,0,No,No,8,5,5,4,Bachelors ,Above_Avergae
13E5-8466,Female,47,Some Travel,Sales,14,NY,White,Marketing,Manager,Single,410970,0,No,No,8,2,5,8,Masters ,Above_Avergae
41DC-E8B5,Male,47,Some Travel,Sales,17,CA,White,Other,Sales Executive,Single,106840,0,No,No,8,3,4,8,Bachelors ,Above_Avergae
A7BB-F5A7,Female,37,Some Travel,Sales,17,CA,White,Economics,Manager,Single,476151,0,No,No,8,3,4,8,Masters ,Above_Avergae
1B7F-73A9,Male,34,Some Travel,Technology,24,CA,Asian or Asian American,Computer Science,Software Engineer,Married,42721,1,No,No,8,3,3,7,Bachelors ,Above_Avergae
13FA-3559,Female,38,Some Travel,Sales,13,CA,Black or African American,Marketing,Sales Executive,Divorced,240248,1,Yes,No,8,4,8,0,Bachelors ,Above_Avergae
A2D0-E2D2,Female,26,Some Travel,Technology,25,CA,White,Information Systems,Software Engineer,Married,22089,1,Yes,Yes,1,0,0,0,Bachelors ,Below_Average
58F5-C8FC,Female,37,Some Travel,Sales,19,NY,White,Marketing,Sales Executive,Married,230381,1,No,No,8,3,3,7,Bachelors ,Above_Avergae
9A87-71F6,Non-Binary,40,Frequent Traveller,Technology,7,IL,Mixed or multiple ethnic groups,Computer Science,Software Engineer,Married,95808,2,No,No,8,8,8,2,Bachelors ,Above_Avergae
FAC0-942B,Male,32,Some Travel,Technology,30,CA,Black or African American,Computer Science,Software Engineer,Married,48377,1,Yes,No,8,5,5,6,Masters ,Above_Avergae
E899-A860,Male,31,Some Travel,Sales,10,CA,Black or African American,Marketing,Sales Executive,Single,110076,0,Yes,No,8,5,8,6,Bachelors ,Above_Avergae
BAF9-933D,Male,41,Some Travel,Human Resources,36,CA,White,Human Resources,HR Executive,Married,131047,0,No,No,8,4,4,7,Bachelors ,Above_Avergae
C900-9EF9,Non-Binary,30,Some Travel,Sales,11,CA,White,Marketing,Sales Executive,Married,127014,0,No,No,8,4,8,0,No Formal Qualifications,Above_Avergae
1472-9F69,Male,27,Some Travel,Sales,1,CA,Black or African American,Marketing,Sales Representative,Single,30870,0,No,Yes,3,1,2,3,Masters ,Below_Average
1C6C-3B67,Non-Binary,41,Frequent Traveller,Technology,7,NY,American Indian or Alaska Native,Computer Science,Software Engineer,Married,96632,1,No,No,8,2,8,0,Bachelors ,Above_Avergae
2698-A448,Male,43,Some Travel,Technology,40,CA,Black or African American,Information Systems,Software Engineer,Single,63511,0,No,No,8,5,7,4,Bachelors ,Above_Avergae
9BD6-2C43,Non-Binary,27,No Travel ,Sales,2,CA,Black or African American,Other,Sales Executive,Divorced,92022,1,No,No,7,7,7,0,Bachelors ,Below_Average
39FC-7149,Female,27,Some Travel,Technology,1,CA,White,Computer Science,Software Engineer,Single,31450,0,No,No,7,3,5,7,Bachelors ,Below_Average
F5E3-48BB,Female,25,Frequent Traveller,Human Resources,3,CA,American Indian or Alaska Native,Human Resources,Recruiter,Married,23547,0,No,Yes,3,0,2,1,Bachelors ,Below_Average
0A05-3943,Female,26,Some Travel,Technology,20,CA,White,Business Studies,Software Engineer,Single,33273,0,Yes,Yes,2,1,1,0,Bachelors ,Below_Average
3120-B11F,Male,28,Frequent Traveller,Technology,7,CA,White,Business Studies,Senior Software Engineer,Married,140538,1,No,No,7,3,5,0,Masters ,Below_Average
2FC8-999D,Female,27,Some Travel,Technology,30,CA,Mixed or multiple ethnic groups,Information Systems,Analytics Manager,Divorced,240633,1,No,No,7,1,6,7,High School ,Below_Average
7BD4-7BFB,Male,27,Some Travel,Technology,19,IL,American Indian or Alaska Native,Computer Science,Software Engineer,Divorced,25276,1,No,No,7,6,7,1,Masters ,Below_Average
6227-9D9E,Female,26,Some Travel,Human Resources,5,CA,Mixed or multiple ethnic groups,Human Resources,HR Manager,Married,315071,1,Yes,No,7,7,7,1,Masters ,Below_Average
4E65-CCD0,Non-Binary,26,Some Travel,Technology,16,CA,White,Computer Science,Senior Software Engineer,Married,54746,1,Yes,No,7,2,4,4,No Formal Qualifications,Below_Average
EB4F-4D97,Female,25,Some Travel,Technology,20,NY,Mixed or multiple ethnic groups,Computer Science,Software Engineer,Married,43438,1,Yes,No,7,7,7,3,High School ,Below_Average
296A-A685,Female,27,No Travel ,Technology,34,CA,Asian or Asian American,Business Studies,Data Scientist,Single,30783,0,No,No,7,7,7,2,High School ,Below_Average
2E7B-43F0,Male,26,Some Travel,Technology,31,CA,White,Computer Science,Engineering Manager,Married,148211,3,Yes,No,7,1,6,0,High School ,Below_Average
E099-3FCC,Male,28,Some Travel,Technology,15,NY,White,Computer Science,Data Scientist,Married,83951,2,No,No,7,3,6,5,Bachelors ,Below_Average
D86B-2E5E,Female,27,Some Travel,Sales,25,NY,White,Technical Degree,Sales Executive,Married,91202,0,Yes,No,7,5,7,2,Bachelors ,Below_Average
267F-F71D,Female,27,Some Travel,Technology,40,CA,Asian or Asian American,Information Systems,Senior Software Engineer,Married,112728,1,No,No,7,5,6,4,Masters ,Below_Average
155B-42BE,Female,25,Some Travel,Sales,38,IL,Mixed or multiple ethnic groups,Marketing,Sales Executive,Single,57018,0,No,Yes,1,0,0,0,High School ,Below_Average
E62F-4FF7,Male,27,Some Travel,Technology,27,CA,Mixed or multiple ethnic groups,Information Systems,Machine Learning Engineer,Married,92522,0,No,No,7,4,5,2,Masters ,Below_Average
93B1-6510,Male,28,No Travel ,Technology,30,CA,White,Computer Science,Data Scientist,Single,52930,0,No,No,7,1,4,2,Bachelors ,Below_Average
71CC-7412,Prefer Not To Say,25,Some Travel,Technology,4,NY,White,Computer Science,Engineering Manager,Single,179602,0,No,No,7,6,6,6,High School ,Below_Average
07F1-62C3,Male,27,Frequent Traveller,Technology,9,NY,Black or African American,Computer Science,Software Engineer,Married,39001,0,Yes,No,7,7,7,4,Masters ,Below_Average
E523-D168,Male,27,Some Travel,Sales,42,CA,Other ,Technical Degree,Sales Executive,Married,68638,0,Yes,No,7,7,7,0,High School ,Below_Average
5A0B-7F31,Male,26,Some Travel,Sales,24,CA,White,Marketing,Sales Executive,Single,85982,0,No,Yes,5,1,1,0,Bachelors ,Below_Average
8F78-4A32,Male,25,No Travel ,Technology,12,NY,Black or African American,Information Systems,Data Scientist,Single,31962,0,No,No,7,2,7,4,Bachelors ,Below_Average
8EA4-9179,Male,25,Some Travel,Technology,23,NY,Black or African American,Computer Science,Data Scientist,Single,24626,0,No,No,7,7,7,1,Bachelors ,Below_Average
6F50-08B6,Male,25,Frequent Traveller,Sales,25,NY,White,Marketing,Sales Executive,Single,57030,0,No,No,7,5,7,6,No Formal Qualifications,Below_Average
0CF8-1EBD,Female,28,Frequent Traveller,Technology,38,CA,Mixed or multiple ethnic groups,Computer Science,Data Scientist,Married,87704,2,No,No,7,1,3,6,Masters ,Below_Average
8E5B-CBBF,Male,25,Some Travel,Sales,12,NY,Asian or Asian American,Marketing,Sales Executive,Divorced,67814,0,No,No,7,6,7,1,Masters ,Below_Average
8DA7-0090,Non-Binary,41,Some Travel,Human Resources,11,NY,Black or African American,Economics,HR Business Partner,Single,445906,0,Yes,No,7,1,5,4,High School ,Above_Avergae
9BC9-1288,Female,27,Some Travel,Sales,4,CA,Black or African American,Economics,Sales Executive,Married,45046,2,Yes,No,7,6,7,0,No Formal Qualifications,Below_Average
6A8B-EC82,Male,26,Some Travel,Sales,24,CA,American Indian or Alaska Native,Marketing,Sales Executive,Single,82312,0,Yes,No,7,2,7,6,No Formal Qualifications,Below_Average
F968-671C,Male,27,Frequent Traveller,Sales,16,CA,White,Technical Degree,Sales Executive,Single,50559,0,No,Yes,6,0,5,5,Bachelors ,Below_Average
31FB-D496,Female,25,Some Travel,Technology,5,CA,Mixed or multiple ethnic groups,Other,Software Engineer,Single,51454,0,No,No,7,1,6,7,Masters ,Below_Average
FEEC-A663,Non-Binary,27,Some Travel,Technology,1,CA,White,Information Systems,Software Engineer,Single,48442,0,No,No,7,3,4,5,No Formal Qualifications,Below_Average
9412-7AA6,Non-Binary,27,Some Travel,Technology,10,CA,White,Information Systems,Data Scientist,Single,45438,0,No,No,7,1,5,5,Bachelors ,Below_Average
920B-7B40,Male,26,Some Travel,Technology,22,CA,Asian or Asian American,Information Systems,Software Engineer,Married,52390,1,Yes,No,7,4,5,3,Bachelors ,Below_Average
2374-7581,Male,25,Some Travel,Technology,1,NY,Asian or Asian American,Information Systems,Senior Software Engineer,Married,72840,0,No,No,7,6,6,0,Masters ,Below_Average
D245-5D80,Male,26,Some Travel,Technology,10,CA,White,Information Systems,Senior Software Engineer,Divorced,148080,1,Yes,No,7,7,7,1,Masters ,Below_Average
41EC-F2AA,Female,26,Frequent Traveller,Technology,42,CA,Asian or Asian American,Computer Science,Data Scientist,Married,56966,1,No,No,7,4,5,2,No Formal Qualifications,Below_Average
1C57-5F2A,Female,27,Some Travel,Technology,42,CA,White,Computer Science,Software Engineer,Married,33606,2,No,No,7,0,0,2,Bachelors ,Below_Average
0678-748A,Male,25,Some Travel,Sales,4,CA,Native Hawaiian ,Economics,Sales Executive,Divorced,57698,2,Yes,Yes,6,5,6,2,High School ,Below_Average
A896-CDE2,Female,25,Some Travel,Technology,16,CA,White,Information Systems,Software Engineer,Married,28317,0,Yes,No,7,4,6,5,Doctorate,Below_Average
ACF7-5B99,Female,26,Some Travel,Sales,17,CA,Asian or Asian American,Marketing,Sales Executive,Single,97811,0,Yes,No,7,3,6,4,Masters ,Below_Average
5741-0022,Female,25,Some Travel,Technology,43,CA,Asian or Asian American,Computer Science,Engineering Manager,Divorced,190198,2,No,No,7,0,2,3,No Formal Qualifications,Below_Average
AA67-CB22,Male,26,Some Travel,Technology,4,IL,White,Computer Science,Senior Software Engineer,Single,167509,0,No,No,7,6,6,0,Masters ,Below_Average
D825-CC31,Female,25,Some Travel,Technology,5,NY,Native Hawaiian ,Computer Science,Machine Learning Engineer,Divorced,44082,1,No,No,7,3,4,2,Bachelors ,Below_Average
59F5-F57D,Female,26,Frequent Traveller,Technology,17,CA,White,Information Systems,Senior Software Engineer,Married,59981,1,Yes,No,7,1,5,2,High School ,Below_Average
E430-E462,Male,28,Some Travel,Technology,38,IL,White,Information Systems,Senior Software Engineer,Married,194982,1,No,No,7,2,7,2,Bachelors ,Below_Average
9F02-0D39,Female,27,Some Travel,Technology,9,CA,White,Computer Science,Analytics Manager,Married,252301,1,No,No,7,1,6,5,High School ,Below_Average
74F3-DF3D,Female,25,Some Travel,Human Resources,22,NY,Black or African American,Economics,HR Executive,Divorced,49131,1,No,No,7,2,6,2,High School ,Below_Average
5F2E-A68B,Prefer Not To Say,26,Some Travel,Technology,16,CA,White,Other,Software Engineer,Single,60834,0,No,No,7,0,0,5,Masters ,Below_Average
65A0-5D04,Female,28,Frequent Traveller,Technology,20,CA,Black or African American,Computer Science,Data Scientist,Married,62016,3,No,No,7,6,6,4,No Formal Qualifications,Below_Average
79C5-FE9D,Non-Binary,28,Some Travel,Technology,5,CA,White,Information Systems,Machine Learning Engineer,Married,140377,1,Yes,No,7,2,7,5,Bachelors ,Below_Average
B49A-7D79,Non-Binary,27,Some Travel,Technology,20,CA,White,Business Studies,Software Engineer,Single,22986,0,Yes,No,7,6,7,0,No Formal Qualifications,Below_Average
E503-C500,Male,28,Some Travel,Technology,39,NY,Black or African American,Computer Science,Software Engineer,Single,81906,0,No,No,7,4,4,1,Doctorate,Below_Average
388D-DB68,Female,27,Some Travel,Human Resources,40,CA,White,Human Resources,Recruiter,Married,34320,1,No,No,7,5,6,5,Bachelors ,Below_Average
A76C-AEB3,Male,25,Some Travel,Technology,10,CA,White,Business Studies,Machine Learning Engineer,Married,145905,2,Yes,No,7,3,3,2,Bachelors ,Below_Average
278C-D482,Female,26,No Travel ,Technology,20,NY,Mixed or multiple ethnic groups,Business Studies,Software Engineer,Divorced,28751,2,No,No,7,6,6,2,Bachelors ,Below_Average
A1DB-6C34,Female,27,Some Travel,Technology,13,NY,Asian or Asian American,Computer Science,Machine Learning Engineer,Married,77039,1,No,No,7,3,6,0,Masters ,Below_Average
468A-E249,Female,26,Some Travel,Technology,22,CA,Mixed or multiple ethnic groups,Business Studies,Engineering Manager,Married,206137,1,No,No,7,1,1,5,Bachelors ,Below_Average
95CB-4E31,Male,28,No Travel ,Technology,4,CA,Asian or Asian American,Business Studies,Software Engineer,Divorced,57837,2,No,No,7,3,3,6,Bachelors ,Below_Average
3A2C-ABB8,Male,25,Some Travel,Technology,5,CA,White,Computer Science,Software Engineer,Married,28646,1,No,No,7,6,6,3,Bachelors ,Below_Average
6EDB-94B7,Male,25,Some Travel,Technology,6,NY,White,Computer Science,Engineering Manager,Single,195911,0,No,No,7,0,3,4,Bachelors ,Below_Average
8292-6635,Male,26,Some Travel,Sales,14,IL,White,Marketing,Sales Executive,Single,127450,0,No,No,7,0,0,1,Masters ,Below_Average
6EEF-5B17,Non-Binary,28,Some Travel,Technology,1,CA,Mixed or multiple ethnic groups,Business Studies,Engineering Manager,Single,339731,0,No,No,7,5,7,0,High School ,Below_Average
C250-AF15,Male,25,Some Travel,Technology,13,NY,Black or African American,Computer Science,Engineering Manager,Single,178337,0,No,No,7,1,7,2,Doctorate,Below_Average
257B-8130,Male,26,Some Travel,Technology,41,NY,Mixed or multiple ethnic groups,Computer Science,Senior Software Engineer,Divorced,47676,1,No,No,7,4,6,1,Bachelors ,Below_Average
B492-D447,Male,28,Some Travel,Sales,3,CA,Asian or Asian American,Marketing,Sales Executive,Married,128719,1,No,No,7,1,3,6,High School ,Below_Average
4673-EBEC,Male,28,Some Travel,Sales,24,NY,Mixed or multiple ethnic groups,Marketing,Sales Executive,Married,78735,1,No,No,7,0,2,4,High School ,Below_Average
C08F-94F9,Male,26,Some Travel,Technology,32,NY,White,Information Systems,Software Engineer,Single,40100,0,Yes,Yes,0,0,0,0,Bachelors ,Below_Average
F961-5A03,Female,27,No Travel ,Technology,12,CA,White,Computer Science,Machine Learning Engineer,Single,105398,0,No,No,7,1,7,4,No Formal Qualifications,Below_Average
CE90-763C,Female,27,Frequent Traveller,Technology,40,CA,Black or African American,Information Systems,Data Scientist,Married,31672,1,No,No,7,1,3,6,Bachelors ,Below_Average
6653-BD41,Female,27,Some Travel,Technology,5,NY,Black or African American,Computer Science,Engineering Manager,Married,238435,1,No,No,7,2,4,1,Bachelors ,Below_Average
C251-2A18,Non-Binary,26,Some Travel,Technology,28,CA,White,Computer Science,Data Scientist,Single,29791,0,No,No,7,7,7,1,Masters ,Below_Average
8FF0-0F7A,Female,26,No Travel ,Technology,18,CA,Mixed or multiple ethnic groups,Information Systems,Engineering Manager,Divorced,153420,2,Yes,No,7,5,5,7,Masters ,Below_Average
62A3-DEA7,Male,25,Some Travel,Technology,8,CA,Mixed or multiple ethnic groups,Information Systems,Software Engineer,Single,30931,0,Yes,Yes,1,0,0,1,No Formal Qualifications,Below_Average
D3F6-A313,Male,27,Some Travel,Technology,34,CA,White,Computer Science,Software Engineer,Married,50949,1,No,No,7,6,7,3,Masters ,Below_Average
1453-D3D8,Non-Binary,27,Some Travel,Technology,4,NY,Asian or Asian American,Computer Science,Machine Learning Engineer,Married,60967,2,No,No,7,7,7,0,Bachelors ,Below_Average
B59D-CA4C,Male,28,Some Travel,Sales,45,CA,Asian or Asian American,Marketing,Sales Executive,Married,110057,2,No,No,7,5,5,4,High School ,Below_Average
3DB7-2942,Female,27,Some Travel,Technology,3,CA,Asian or Asian American,Computer Science,Engineering Manager,Married,137012,1,No,No,7,6,7,7,High School ,Below_Average
B102-5713,Non-Binary,27,Some Travel,Sales,31,CA,Mixed or multiple ethnic groups,Marketing,Manager,Single,205622,0,No,No,7,5,5,3,Doctorate,Below_Average
BDE5-385A,Male,26,Some Travel,Technology,39,CA,White,Information Systems,Software Engineer,Married,60494,1,Yes,No,7,7,7,7,Bachelors ,Below_Average
8F7F-015D,Male,28,Some Travel,Technology,43,IL,White,Information Systems,Engineering Manager,Married,249071,2,No,No,7,5,5,6,Masters ,Below_Average
C1B4-46B2,Male,27,No Travel ,Technology,21,CA,White,Information Systems,Senior Software Engineer,Divorced,73326,1,No,No,7,0,5,0,Masters ,Below_Average
F5C3-07B0,Female,26,Some Travel,Technology,16,IL,White,Computer Science,Software Engineer,Divorced,25110,2,No,No,7,1,5,0,Bachelors ,Below_Average
08FC-817E,Female,26,Some Travel,Technology,43,NY,Black or African American,Computer Science,Software Engineer,Married,30217,1,No,No,7,2,4,0,Masters ,Below_Average
AC19-7EE7,Male,25,Some Travel,Sales,38,NY,Mixed or multiple ethnic groups,Marketing,Sales Executive,Divorced,86485,1,Yes,No,7,6,6,0,Bachelors ,Below_Average
C9FF-3A25,Male,28,No Travel ,Technology,17,NY,Black or African American,Information Systems,Software Engineer,Single,54324,0,Yes,Yes,3,3,3,1,High School ,Below_Average
CDC1-C7CA,Female,25,Frequent Traveller,Sales,6,CA,Mixed or multiple ethnic groups,Marketing,Sales Executive,Married,102569,0,No,No,7,1,2,5,Bachelors ,Below_Average
E616-CAD8,Female,27,Some Travel,Technology,1,IL,White,Information Systems,Engineering Manager,Single,200409,0,No,No,7,5,6,1,Bachelors ,Below_Average
